Body,Head,Head Coverage,Std_Confidence,Pca Confidence,Support,Body Size,Pca Body Size,Functional_variable,PCA_valid,PCA_invalid,PCA_valid_proportion,PCA_invalid_proportion,Support_valid,Support_invalid,PCABody_valid,PCABody_invalid
?a  patientDrug  Carboplatin  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  EGFR_Positive,0.090909,0.727273,0.727273,88,121,121,?a,0,1,0,1,0,88,33,88
?a  patientDrug  Carboplatin  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.666667,0.666667,44,66,66,?a,0,1,0,1,0,44,22,44
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Positive,0.034091,0.6,0.6,33,55,55,?a,0,1,0,1,0,33,22,33
?a  hasBiomarker  ROS1_Negative  ?a  hasSmokingHabit  NonSmoker   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,0,1,0,1,0,22,0,22
?a  hasStage  IVA  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  EGFR_Positive,0.022727,0.666667,0.666667,22,33,33,?a,0,1,0,1,0,22,11,22
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.8,0.8,44,55,55,?a,0,1,0,1,0,44,11,44
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Durvalumab   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasAgeCategory  Old  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  EGFR_Positive,0.068182,0.6,0.6,66,110,110,?a,0,1,0,1,0,66,44,66
?a  patientDrug  Carboplatin  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  EGFR_Positive,0.056818,0.833333,0.833333,55,66,66,?a,0,1,0,1,0,55,11,55
?a  hasAgeCategory  Old  ?a  hasBiomarker  ROS1_Negative   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.571429,0.571429,44,77,77,?a,0,1,0,1,0,44,33,44
?a  patientDrug  Carboplatin  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  EGFR_Positive,0.022727,0.666667,0.666667,22,33,33,?a,0,1,0,1,0,22,11,22
?a  hasBiomarker  PDL1_Positive  ?a  hasRelapse_Progression  No_Progression   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasSmokingHabit  FormerSmoker  ?a  hasStage  IV   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.8,0.8,44,55,55,?a,0.5,1,0.25,0.75,11,33,22,33
?a  hasGender  Male  ?a  hasStage  IV   ,?a  hasBiomarker  EGFR_Positive,0.034091,1,1,33,33,33,?a,0,1,0,1,0,33,0,33
?a  hasAgeCategory  Old  ?a  hasStage  IV   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.8,0.8,44,55,55,?a,0,1,0,1,0,44,11,44
?a  hasBiomarker  ALK_Negative  ?a  hasStage  IVA   ,?a  hasBiomarker  EGFR_Positive,0.034091,0.6,0.6,33,55,55,?a,0.333333333,1,0.333333333,0.666666667,11,22,33,22
?a  hasAgeCategory  Old  ?a  patientDrug  Nivolumab   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.8,0.8,44,55,55,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Nivolumab  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  EGFR_Positive,0.056818,0.833333,0.833333,55,66,66,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Pemetrexed  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Positive,0.034091,0.75,0.75,33,44,44,?a,0,1,0,1,0,33,11,33
?a  patientDrug  Carboplatin  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  EGFR_Positive,0.034091,0.6,0.6,33,55,55,?a,0,1,0,1,0,33,22,33
?a  patientDrug  Atezolizumab  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  EGFR_Positive,0.056818,1,1,55,55,55,?a,0,1,0,1,0,55,0,55
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  EGFR_Positive,0.102273,0.6,0.6,99,165,165,?a,0,1,0,1,0,99,66,99
?a  hasGender  Male  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.666667,0.666667,44,66,66,?a,0,1,0,1,0,44,22,44
?a  hasAgeCategory  Old  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  EGFR_Positive,0.056818,0.625,0.625,55,88,88,?a,0,1,0,1,0,55,33,55
?a  patientDrug  Pemetrexed  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.8,0.8,44,55,55,?a,0,1,0,1,0,44,11,44
?a  patientDrug  Carboplatin  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  EGFR_Positive,0.034091,1,1,33,33,33,?a,0,1,0,1,0,33,0,33
?a  patientDrug  Afatinib  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Gemcitabine  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Atezolizumab  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,0,1,0,1,0,22,0,22
?a  hasStage  IIIB  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasGender  Female  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Positive,0.022727,0.666667,0.666667,22,33,33,?a,0,1,0,1,0,22,11,22
?a  hasStage  IV  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,0,1,0,1,0,22,0,22
?a  hasStage  IV  ?a  patientDrug  Gemcitabine   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,0,1,0,1,0,22,0,22
?a  hasStage  IV  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  EGFR_Positive,0.034091,1,1,33,33,33,?a,0,1,0,1,0,33,0,33
?a  patientDrug  Docetaxel  ?a  patientDrug  Nivolumab   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Nivolumab  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,0,0,0,0,0,0,0,0
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Nivolumab   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.8,0.8,44,55,55,?a,0,0,0,0,0,0,0,0
?a  hasStage  IV  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Docetaxel  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.666667,0.666667,44,66,66,?a,0,1,0,1,0,44,22,44
?a  patientDrug  Paclitaxel  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  EGFR_Positive,0.034091,0.75,0.75,33,44,44,?a,0,1,0,1,0,33,11,33
?a  patientDrug  Docetaxel  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  EGFR_Positive,0.034091,1,1,33,33,33,?a,0,1,0,1,0,33,0,33
?a  hasStage  IVA  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  EGFR_Positive,0.022727,0.666667,0.666667,22,33,33,?a,0,1,0,1,0,22,11,22
?a  patientDrug  Pemetrexed  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  EGFR_Positive,0.022727,0.666667,0.666667,22,33,33,?a,0,1,0,1,0,22,11,22
?a  hasStage  IVB  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Positive,0.011364,0.5,0.5,11,22,22,?a,0,1,0,1,0,11,11,11
?a  patientDrug  Daratumumab  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasSmokingHabit  NonSmoker  ?a  hasStage  IVB   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,0,1,0,1,0,22,0,22
?a  hasGender  Male  ?a  hasStage  IVB   ,?a  hasBiomarker  EGFR_Positive,0.022727,0.666667,0.666667,22,33,33,?a,0,1,0,1,0,22,11,22
?a  hasStage  IV  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  EGFR_Positive,0.056818,0.833333,0.833333,55,66,66,?a,0,1,0,1,0,55,11,55
?a  hasStage  IVB  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  EGFR_Positive,0.034091,1,1,33,33,33,?a,0,1,0,1,0,33,0,33
?a  hasStage  IIIA  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Docetaxel  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  EGFR_Positive,0.068182,0.857143,0.857143,66,77,77,?a,0,1,0,1,0,66,11,66
?a  patientDrug  Docetaxel  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Pemetrexed  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  EGFR_Positive,0.102273,0.6,0.6,99,165,165,?a,0,1,0,1,0,99,66,99
?a  patientDrug  Osimertinib  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasStage  IVB  ?a  patientDrug  Osimertinib   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,0,1,0,1,0,22,0,22
?a  patientDrug  Paclitaxel  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasStage  IVB  ?a  patientDrug  Gefitinib   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasStage  IVB  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasStage  IVA  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Erlotinib  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Docetaxel  ?a  treatmentType  Chemotherapy_Adjuvant   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Gefitinib  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  EGFR_Positive,0.045455,1,1,44,44,44,?a,0,1,0,1,0,44,0,44
?a  hasStage  IV  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasStage  IIIC  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasAgeCategory  Old  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  EGFR_Positive,0.045455,1,1,44,44,44,?a,0,1,0,1,0,44,0,44
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,0,1,0,1,0,22,0,22
?a  patientDrug  Atezolizumab  ?a  treatmentType  Surgery   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasStage  IVB  ?a  patientDrug  Erlotinib   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasStage  IVB  ?a  patientDrug  Afatinib   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,0,1,0,1,0,22,0,22
?a  patientDrug  Atezolizumab  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasGender  Female  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Positive,0.034091,0.75,0.75,33,44,44,?a,0,1,0,1,0,33,11,33
?a  patientDrug  Vinorelbine  ?a  treatmentType  Surgery   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Atezolizumab  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Atezolizumab  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Vinorelbine  ?a  treatmentType  Chemotherapy_Adjuvant   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Vinorelbine  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  EGFR_Positive,0.022727,0.666667,0.666667,22,33,33,?a,0,1,0,1,0,22,11,22
?a  hasGender  Female  ?a  hasSmokingHabit  FormerSmoker   ,?a  hasBiomarker  EGFR_Positive,0.068182,0.75,0.75,66,88,88,?a,0.5,1,0.333333333,0.666666667,22,44,44,44
?a  hasAgeCategory  Old  ?a  hasSmokingHabit  FormerSmoker   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.8,0.8,44,55,55,?a,0,1,0,1,0,44,11,44
?a  hasSmokingHabit  FormerSmoker  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,0,1,0,1,0,22,0,22
?a  hasSmokingHabit  FormerSmoker  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  EGFR_Positive,0.068182,0.857143,0.857143,66,77,77,?a,0,1,0,1,0,66,11,66
?a  patientDrug  Other  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasStage  IIIA  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Nivolumab  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  hasGender  Female  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  EGFR_Positive,0.034091,0.75,0.75,33,44,44,?a,0,1,0,1,0,33,11,33
?a  patientDrug  Atezolizumab  ?a  treatmentType  Chemotherapy_Adjuvant   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Atezolizumab  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,0,1,0,1,0,22,0,22
?a  hasAgeCategory  Old  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  EGFR_Positive,0.034091,0.6,0.6,33,55,55,?a,0,1,0,1,0,33,22,33
?a  patientDrug  Atezolizumab  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasBiomarker  BRAF_Negative  ?a  hasSmokingHabit  FormerSmoker   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  patientDrug  Vinorelbine  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasBiomarker  PDL1_Negative  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasSmokingHabit  FormerSmoker  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  EGFR_Positive,0.045455,1,1,44,44,44,?a,1,1,0.5,0.5,22,22,22,22
?a  hasStage  IVA  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Durvalumab   ,?a  hasBiomarker  EGFR_Positive,0.022727,0.666667,0.666667,22,33,33,?a,0,1,0,1,0,22,11,22
?a  patientDrug  Erlotinib  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  patientDrug  Osimertinib  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  EGFR_Positive,0.034091,1,1,33,33,33,?a,1,1,0.333333333,0.666666667,11,22,11,22
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Nivolumab   ,?a  hasGender  Female,0.068966,1,1,22,22,22,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Afatinib  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,0,1,0,1,0,22,0,22
?a  hasBiomarker  PDL1_Negative  ?a  hasSmokingHabit  FormerSmoker   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasGender  Female  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  EGFR_Positive,0.045455,0.8,0.8,44,55,55,?a,0.666666667,1,0.5,0.5,22,22,33,22
?a  treatmentType  Molecular_Targeted_Therapy  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  EGFR_Positive,0.056818,1,1,55,55,55,?a,1,1,0.4,0.6,22,33,22,33
?a  patientDrug  Erlotinib  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  patientDrug  Afatinib  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,0,1,0,1,0,22,0,22
?a  hasSmokingHabit  NonSmoker  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  EGFR_Positive,0.022727,1,1,22,22,22,?a,0,1,0,1,0,22,0,22
?a  hasAgeCategory  Old  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  EGFR_Positive,0.068182,0.545455,0.545455,66,121,121,?a,0,1,0,1,0,66,55,66
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Gemcitabine   ,?a  hasBiomarker  EGFR_Positive,0.022727,0.666667,0.666667,22,33,33,?a,0,1,0,1,0,22,11,22
?a  treatmentType  Concurrent_Chemoradiotherapy  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  EGFR_Positive,0.034091,0.6,0.6,33,55,55,?a,0,1,0,1,0,33,22,33
?a  hasBiomarker  EGFR_Positive  ?a  hasBiomarker  PDL1_Positive   ,?a  hasGender  Female,0.172414,1,1,55,55,55,?a,1,1,0.2,0.8,11,44,11,44
?a  hasBiomarker  PDL1_Positive  ?a  hasBiomarker  ROS1_Negative   ,?a  hasGender  Female,0.310345,0.75,0.75,99,132,132,?a,0.625,1,0.555555556,0.444444444,55,44,88,44
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Carboplatin   ,?a  hasGender  Female,0.241379,0.875,0.875,77,88,88,?a,0.8,1,0.571428571,0.428571429,44,33,55,33
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Docetaxel   ,?a  hasGender  Female,0.137931,0.8,0.8,44,55,55,?a,0.666666667,1,0.5,0.5,22,22,33,22
?a  hasBiomarker  PDL1_Positive  ?a  hasStage  IVB   ,?a  hasGender  Female,0.206897,0.857143,0.857143,66,77,77,?a,0.8,1,0.666666667,0.333333333,44,22,55,22
?a  hasBiomarker  BRAF_Negative  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  EGFR_Positive,0.011364,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasAgeCategory  Young  ?a  hasBiomarker  PDL1_Positive   ,?a  hasGender  Female,0.241379,0.777778,0.777778,77,99,99,?a,0.666666667,1,0.571428571,0.428571429,44,33,66,33
?a  hasBiomarker  EGFR_Negative  ?a  hasRelapse_Progression  Progression   ,?a  hasGender  Female,0.206897,0.545455,0.545455,66,121,121,?a,0.6,0,1,0,66,0,110,11
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasGender  Female,0.068966,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasGender  Female,0.275862,0.727273,0.727273,88,121,121,?a,0.625,1,0.625,0.375,55,33,88,33
?a  hasBiomarker  EGFR_Positive  ?a  patientDrug  Docetaxel   ,?a  hasGender  Female,0.103448,0.75,0.75,33,44,44,?a,0,0.75,0,1,0,33,0,44
?a  hasBiomarker  EGFR_Negative  ?a  hasStage  IV   ,?a  hasGender  Female,0.068966,1,1,22,22,22,?a,1,0,1,0,22,0,22,0
?a  patientDrug  Docetaxel  ?a  patientDrug  Pemetrexed   ,?a  hasGender  Female,0.137931,0.666667,0.666667,44,66,66,?a,0.5,0.75,0.25,0.75,11,33,22,44
?a  patientDrug  Carboplatin  ?a  patientDrug  Docetaxel   ,?a  hasGender  Female,0.137931,0.8,0.8,44,55,55,?a,0.5,1,0.25,0.75,11,33,22,33
?a  patientDrug  Osimertinib  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  EGFR_Positive,0.034091,1,1,33,33,33,?a,1,1,0.333333333,0.666666667,11,22,11,22
?a  hasRelapse_Progression  Progression  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  EGFR_Positive,0.125,0.52381,0.52381,121,231,231,?a,0,0.916666667,0,1,0,121,99,132
?a  patientDrug  Docetaxel  ?a  patientDrug  Vinorelbine   ,?a  hasGender  Female,0.068966,0.666667,0.666667,22,33,33,?a,0.5,1,0.5,0.5,11,11,22,11
?a  hasAgeCategory  Young  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  EGFR_Positive,0.056818,0.714286,0.714286,55,77,77,?a,0.5,1,0.4,0.6,22,33,44,33
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Pemetrexed   ,?a  hasGender  Female,0.206897,0.75,0.75,66,88,88,?a,0.666666667,1,0.666666667,0.333333333,44,22,66,22
?a  patientDrug  Docetaxel  ?a  treatmentType  Chemotherapy_Adjuvant   ,?a  hasGender  Female,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Docetaxel  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasGender  Female,0.103448,1,1,33,33,33,?a,0,1,0,1,0,33,0,33
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Osimertinib   ,?a  hasGender  Female,0.068966,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  patientDrug  Docetaxel  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasGender  Female,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasBiomarker  ALK_Negative  ?a  hasBiomarker  PDL1_Positive   ,?a  hasGender  Female,0.344828,0.769231,0.769231,110,143,143,?a,0.666666667,1,0.6,0.4,66,44,99,44
?a  patientDrug  Docetaxel  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasGender  Female,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Pemetrexed   ,?a  hasGender  Female,0.172414,0.714286,0.714286,55,77,77,?a,0.714285714,0,1,0,55,0,77,0
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Vinorelbine   ,?a  hasGender  Female,0.068966,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Other   ,?a  hasGender  Female,0.068966,0.666667,0.666667,22,33,33,?a,0.666666667,0,1,0,22,0,33,0
?a  patientDrug  Nivolumab  ?a  patientDrug  Pemetrexed   ,?a  hasGender  Female,0.137931,0.8,0.8,44,55,55,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Carboplatin  ?a  patientDrug  Pemetrexed   ,?a  hasGender  Female,0.275862,0.727273,0.727273,88,121,121,?a,1,0.625,0.375,0.625,33,55,33,88
?a  patientDrug  Pembrolizumab  ?a  patientDrug  Pemetrexed   ,?a  hasGender  Female,0.241379,0.875,0.875,77,88,88,?a,0.8,1,0.571428571,0.428571429,44,33,55,33
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasGender  Female,0.137931,0.8,0.8,44,55,55,?a,0.8,0,1,0,44,0,55,0
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasGender  Female,0.206897,0.857143,0.857143,66,77,77,?a,0.8,1,0.666666667,0.333333333,44,22,55,22
?a  hasBiomarker  EGFR_Negative  ?a  hasStage  IVB   ,?a  hasGender  Female,0.137931,0.8,0.8,44,55,55,?a,0.8,0,1,0,44,0,55,0
?a  hasBiomarker  EGFR_Negative  ?a  hasSmokingHabit  FormerSmoker   ,?a  hasGender  Female,0.068966,1,1,22,22,22,?a,1,0,1,0,22,0,22,0
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Pemetrexed   ,?a  hasGender  Female,0.206897,0.666667,0.666667,66,99,99,?a,0.666666667,0.666666667,0.666666667,0.333333333,44,22,66,33
?a  hasAgeCategory  Young  ?a  patientDrug  Pemetrexed   ,?a  hasGender  Female,0.241379,0.777778,0.777778,77,99,99,?a,0.75,0.8,0.428571429,0.571428571,33,44,44,55
